Player,Season,Team,Position,PTS,TRB,AST,STL,BLK,TOV,FT,FG%,3P%,2P%,FT%,TS%,BPM,OBPM,DBPM,PER,WS
Karl-Anthony Towns,2018-19,MIN,C,24.4,12.4,3.4,0.9,1.6,3.1,4.9,0.518,0.4,0.562,0.836,0.622,6.0,5.4,0.6,26.3,10.4
Brandon Ingram,2018-19,LAL,SF,18.3,5.1,3.0,0.5,0.6,2.5,3.8,0.497,0.33,0.521,0.675,0.555,-2.0,-1.3,-0.7,13.4,2.0
Pascal Siakam,2018-19,TOR,PF,16.9,6.9,3.1,0.9,0.7,1.9,3.0,0.549,0.369,0.602,0.785,0.628,2.4,1.6,0.8,18.7,9.3
Fred VanVleet,2018-19,TOR,PG,11.0,2.6,4.8,0.9,0.3,1.3,1.5,0.41,0.378,0.441,0.843,0.539,0.5,0.4,0.1,13.7,4.3
Draymond Green,2018-19,GSW,PF,7.4,7.3,6.9,1.4,1.1,2.6,1.0,0.445,0.285,0.549,0.692,0.526,1.4,-1.3,2.7,12.9,4.3
Brook Lopez,2018-19,MIL,C,12.5,4.9,1.2,0.6,2.2,1.0,1.4,0.452,0.365,0.613,0.842,0.597,2.2,0.4,1.8,14.6,6.7
Mikal Bridges,2018-19,PHO,SF,8.3,3.2,2.1,1.6,0.5,0.9,1.2,0.43,0.335,0.548,0.805,0.556,-1.6,-2.0,0.4,10.8,2.9
Aaron Gordon,2018-19,ORL,PF,16.0,7.4,3.7,0.7,0.7,2.1,2.4,0.449,0.349,0.499,0.731,0.538,0.6,0.3,0.3,15.1,5.1
Jalen Brunson,2018-19,DAL,PG,9.3,2.3,3.2,0.5,0.1,1.2,1.2,0.467,0.348,0.523,0.725,0.549,-1.7,-1.2,-0.5,12.8,2.6
LeBron James,2019-20,LAL,PG,25.3,7.8,10.2,1.2,0.5,3.9,3.9,0.493,0.348,0.564,0.693,0.577,8.4,6.6,1.8,25.5,9.8
Stephen Curry,2019-20,GSW,PG,20.8,5.2,6.6,1.0,0.4,3.2,5.2,0.402,0.245,0.636,1.0,0.557,3.9,4.5,-0.6,21.7,0.3
Nikola Jokić,2019-20,DEN,C,19.9,9.7,7.0,1.2,0.6,3.1,3.4,0.528,0.314,0.594,0.817,0.605,7.4,5.5,2.0,24.9,9.8
Giannis Antetokounmpo,2019-20,MIL,PF,29.5,13.6,5.6,1.0,1.0,3.7,6.3,0.553,0.304,0.631,0.633,0.613,11.5,7.4,4.1,31.9,11.1
Joel Embiid,2019-20,PHI,C,23.0,11.6,3.0,0.9,1.3,3.1,6.9,0.477,0.331,0.517,0.807,0.59,4.7,3.7,1.0,25.8,6.0
Kawhi Leonard,2019-20,LAC,SF,27.1,7.1,4.9,1.8,0.6,2.6,6.2,0.47,0.378,0.506,0.886,0.589,8.9,6.5,2.4,26.9,8.7
James Harden,2019-20,HOU,SG,34.3,6.6,7.5,1.8,0.9,4.5,10.2,0.444,0.355,0.556,0.865,0.626,9.6,8.1,1.6,29.1,13.1
Russell Westbrook,2019-20,HOU,PG,27.2,7.9,7.0,1.6,0.4,4.5,5.1,0.472,0.258,0.514,0.763,0.536,1.5,1.6,-0.1,21.0,4.2
